:START_ID,:END_ID,:TYPE
114,30009,belong_to
114,30015,belong_to
115,30016,belong_to
115,30003,belong_to
115,30022,belong_to
115,30014,belong_to
115,30007,belong_to
116,30016,belong_to
116,30011,belong_to
117,30012,belong_to
117,30020,belong_to
117,30006,belong_to
118,30016,belong_to
118,30012,belong_to
118,30021,belong_to
118,30023,belong_to
118,30001,belong_to
119,30021,belong_to
119,30020,belong_to
119,30006,belong_to
120,30016,belong_to
120,30021,belong_to
120,30023,belong_to
120,30001,belong_to
121,30016,belong_to
122,30011,belong_to
122,30019,belong_to
122,30020,belong_to
123,30016,belong_to
123,30014,belong_to
124,30019,belong_to
124,30020,belong_to
124,30005,belong_to
124,30004,belong_to
