:START_ID,:END_ID,:TYPE
8,21011,acted_in
8,22741,acted_in
8,21957,acted_in
9,20219,acted_in
9,21201,acted_in
9,20657,acted_in
9,21138,acted_in
9,22899,acted_in
9,20174,acted_in
9,22944,acted_in
9,21623,acted_in
9,20125,acted_in
9,22569,acted_in
9,22799,acted_in
9,22156,acted_in
9,22755,acted_in
9,20494,acted_in
9,22644,acted_in
9,21290,acted_in
9,21555,acted_in
9,21233,acted_in
9,22722,acted_in
9,22285,acted_in
9,22806,acted_in
9,22907,acted_in
9,22318,acted_in
9,22149,acted_in
9,22981,acted_in
9,20562,acted_in
10,21814,acted_in
10,21893,acted_in
10,22463,acted_in
10,21917,acted_in
10,22449,acted_in
10,21812,acted_in
10,21687,acted_in
10,21773,acted_in
10,22053,acted_in
10,21575,acted_in
10,21797,acted_in
10,21910,acted_in
10,20607,acted_in
10,22817,acted_in
10,21765,acted_in
10,20741,acted_in
10,23003,acted_in
10,20501,acted_in
10,22213,acted_in
10,22599,acted_in
10,21454,acted_in
10,21549,acted_in
10,22397,acted_in
10,21221,acted_in
10,22127,acted_in
10,21211,acted_in
10,20946,acted_in
10,21522,acted_in
10,22312,acted_in
10,21534,acted_in
10,22824,acted_in
10,22725,acted_in
10,20676,acted_in
10,22327,acted_in
10,22125,acted_in
10,22741,acted_in
10,22756,acted_in
10,20600,acted_in
10,21742,acted_in
10,21416,acted_in
10,20310,acted_in
10,21788,acted_in
10,22256,acted_in
10,22995,acted_in
10,20241,acted_in
10,22933,acted_in
11,21862,acted_in
11,20859,acted_in
11,22068,acted_in
11,21845,acted_in
11,22607,acted_in
11,20752,acted_in
11,21468,acted_in
11,21855,acted_in
11,21051,acted_in
11,20716,acted_in
11,21610,acted_in
11,21500,acted_in
11,21632,acted_in
11,21914,acted_in
11,22531,acted_in
11,23163,acted_in
11,21815,acted_in
11,21424,acted_in
11,20592,acted_in
11,22842,acted_in
11,20358,acted_in
11,20516,acted_in
12,23099,acted_in
12,20391,acted_in
12,22850,acted_in
12,20138,acted_in
12,20502,acted_in
12,22875,acted_in
12,20524,acted_in
12,22252,acted_in
12,21045,acted_in
12,21920,acted_in
12,21085,acted_in
12,20239,acted_in
12,22957,acted_in
12,23053,acted_in
12,21106,acted_in
12,21172,acted_in
12,20565,acted_in
12,22104,acted_in
12,22221,acted_in
12,21832,acted_in
12,21759,acted_in
12,21541,acted_in
12,22979,acted_in
13,21514,acted_in
13,21848,acted_in
13,20499,acted_in
13,22066,acted_in
13,21115,acted_in
13,22129,acted_in
13,21488,acted_in
13,22399,acted_in
13,22474,acted_in
13,21607,acted_in
13,22968,acted_in
13,21739,acted_in
13,20403,acted_in
14,22298,acted_in
14,21708,acted_in
14,21213,acted_in
14,22838,acted_in
14,21790,acted_in
14,23123,acted_in
14,22309,acted_in
14,21705,acted_in
14,22760,acted_in
14,21770,acted_in
14,20482,acted_in
14,21209,acted_in
14,23119,acted_in
14,21531,acted_in
14,21637,acted_in
14,21188,acted_in
14,20766,acted_in
15,22813,acted_in
15,22952,acted_in
15,21516,acted_in
15,22425,acted_in
15,22411,acted_in
15,22497,acted_in
15,21153,acted_in
15,21306,acted_in
15,20856,acted_in
15,22514,acted_in
15,21353,acted_in
15,20945,acted_in
15,21507,acted_in
15,21154,acted_in
15,21239,acted_in
15,22846,acted_in
15,21063,acted_in
15,21442,acted_in
15,22093,acted_in
15,20019,acted_in
15,21995,acted_in
15,23120,acted_in
15,22535,acted_in
15,21484,acted_in
15,23139,acted_in
15,23093,acted_in
15,22797,acted_in
15,22295,acted_in
15,22013,acted_in
15,22670,acted_in
16,22111,acted_in
16,22404,acted_in
16,20319,acted_in
16,23190,acted_in
16,21717,acted_in
16,22791,acted_in
16,20569,acted_in
16,20703,acted_in
16,22943,acted_in
16,22679,acted_in
16,22212,acted_in
16,22277,acted_in
16,23177,acted_in
16,21223,acted_in
16,22548,acted_in
16,22179,acted_in
16,20496,acted_in
16,20027,acted_in
16,20344,acted_in
16,20332,acted_in
16,22920,acted_in
16,20674,acted_in
16,22590,acted_in
16,20915,acted_in
16,22422,acted_in
16,23001,acted_in
16,23121,acted_in
16,21945,acted_in
16,20212,acted_in
16,21744,acted_in
16,22017,acted_in
16,20747,acted_in
16,23064,acted_in
16,22167,acted_in
16,22986,acted_in
16,20312,acted_in
16,22911,acted_in
16,20969,acted_in
16,23055,acted_in
16,21026,acted_in
16,21186,acted_in
16,21029,acted_in
16,22078,acted_in
17,20819,acted_in
17,23089,acted_in
17,23162,acted_in
17,22071,acted_in
17,22374,acted_in
17,21533,acted_in
17,20621,acted_in
17,22481,acted_in
17,20956,acted_in
17,20074,acted_in
17,23010,acted_in
17,22504,acted_in
17,20005,acted_in
17,21475,acted_in
17,22057,acted_in
17,21901,acted_in
17,23185,acted_in
17,23002,acted_in
17,20570,acted_in
17,21986,acted_in
17,22512,acted_in
17,21798,acted_in
17,21465,acted_in
17,20928,acted_in
17,20519,acted_in
17,20733,acted_in
17,21101,acted_in
17,21789,acted_in
17,21447,acted_in
17,21885,acted_in
17,20655,acted_in
17,21671,acted_in
17,22671,acted_in
17,22203,acted_in
18,22148,acted_in
18,20442,acted_in
18,21096,acted_in
18,20803,acted_in
18,20708,acted_in
18,21219,acted_in
18,22146,acted_in
18,20886,acted_in
18,21581,acted_in
18,22145,acted_in
18,23098,acted_in
18,22186,acted_in
18,22407,acted_in
18,22038,acted_in
18,23094,acted_in
18,21184,acted_in
18,20124,acted_in
18,22830,acted_in
18,22834,acted_in
18,20769,acted_in
18,21656,acted_in
18,20958,acted_in
18,22089,acted_in
18,21886,acted_in
18,21527,acted_in
18,20497,acted_in
18,20284,acted_in
18,20768,acted_in
18,21981,acted_in
18,20136,acted_in
18,22807,acted_in
18,23027,acted_in
18,21046,acted_in
18,22113,acted_in
18,22503,acted_in
18,21975,acted_in
18,20579,acted_in
18,21351,acted_in
18,20398,acted_in
18,22383,acted_in
18,21425,acted_in
18,20820,acted_in
18,23183,acted_in
18,22392,acted_in
18,20053,acted_in
18,21262,acted_in
18,20157,acted_in
18,21510,acted_in
18,22320,acted_in
18,20585,acted_in
18,21177,acted_in
18,22510,acted_in
18,21345,acted_in
18,22960,acted_in
19,21793,acted_in
19,21119,acted_in
19,23078,acted_in
19,20843,acted_in
19,21940,acted_in
19,22964,acted_in
19,21605,acted_in
19,21451,acted_in
19,22586,acted_in
19,20724,acted_in
19,20508,acted_in
19,21611,acted_in
19,21499,acted_in
19,22739,acted_in
19,22764,acted_in
19,20876,acted_in
19,22665,acted_in
20,20217,acted_in
20,21804,acted_in
20,20272,acted_in
20,20789,acted_in
20,20923,acted_in
20,20298,acted_in
20,20046,acted_in
20,21020,acted_in
20,21331,acted_in
20,21887,acted_in
20,22316,acted_in
20,23104,acted_in
20,23140,acted_in
20,20977,acted_in
20,21275,acted_in
20,20954,acted_in
20,22951,acted_in
20,20397,acted_in
20,23056,acted_in
20,21135,acted_in
20,21949,acted_in
20,22177,acted_in
20,22267,acted_in
21,22816,acted_in
21,20021,acted_in
21,22021,acted_in
21,20190,acted_in
21,22524,acted_in
21,22988,acted_in
21,20523,acted_in
21,20031,acted_in
21,20265,acted_in
21,22494,acted_in
21,22041,acted_in
21,21619,acted_in
21,21509,acted_in
21,22977,acted_in
21,20258,acted_in
21,21841,acted_in
21,22073,acted_in
21,22049,acted_in
21,22627,acted_in
21,20186,acted_in
21,20178,acted_in
21,21175,acted_in
21,21279,acted_in
21,22648,acted_in
21,22508,acted_in
21,20709,acted_in
21,20528,acted_in
21,20437,acted_in
21,22654,acted_in
21,21061,acted_in
21,22521,acted_in
21,22763,acted_in
21,20883,acted_in
21,20044,acted_in
22,20273,acted_in
22,20563,acted_in
22,21682,acted_in
22,22867,acted_in
22,20184,acted_in
22,22338,acted_in
22,20642,acted_in
22,21760,acted_in
22,22199,acted_in
22,20787,acted_in
22,20955,acted_in
22,21350,acted_in
22,21082,acted_in
22,21658,acted_in
22,20697,acted_in
22,21344,acted_in
22,21482,acted_in
22,22492,acted_in
22,20817,acted_in
22,20281,acted_in
22,20972,acted_in
22,20023,acted_in
23,21283,acted_in
23,20308,acted_in
23,22168,acted_in
23,20367,acted_in
